Network,Train_R2,Train_R2 std,Train_RSME,Train_RSME std,Train_MAE,Train_MAE std,Test_R2,Test_R2 std,Test_RSME,Test_RSME std,Test_MAE,Test_MAE std,Epoch,LR,Output AF
Trial-1(7 x 10 x 10 x 1),0.9701178381907434,0.023397532773932056,0.033827882364641536,0.0150257433628807,0.02373715691615005,0.013084351822858015,0.9416384669416492,0.0311324326991551,0.04884893035529117,0.015082533669823631,0.03521784397270135,0.009737248623040184,864.0,0.001,0.0
Trial-2(7 x 12 x 12 x 1),0.8798580227415728,0.17710274429803627,0.05468701119882198,0.046186988970003125,0.033276540445027376,0.02635063739218433,0.8243143510897888,0.2354749666561062,0.07236176613317802,0.052795145741257515,0.05089531978500159,0.03921452441135292,1212.0,0.001,0.0
Trial-3(7 x 14 x 14 x 1),0.9794996070598938,0.004504897591467772,0.0300048605061183,0.003789303036499693,0.018255330766057464,0.0029847375068424533,0.952304790634708,0.022273598891068908,0.04641988983639424,0.014080252526121582,0.0312358749917532,0.011201378961003714,831.0,0.001,0.0
Trial-4(7 x 16 x 16 x 1),0.9829865960645232,0.007666167719008366,0.026748763598892996,0.00512225040799701,0.017160867365246753,0.002736901746085003,0.9418908020801902,0.019505028846655455,0.050925203440603486,0.011738293721830537,0.03360423023500805,0.00792300643348388,973.0,0.001,0.0
Trial-5(7 x 18 x 18 x 1),0.9913551119503984,0.0022774218421568204,0.019553124075301773,0.002857688876025175,0.012558731532062785,0.0017221006150815465,0.9534118513227642,0.043353944968798366,0.045382527058807,0.022640943759255325,0.026939908305135242,0.0094660497649037,810.0,0.001,0.0
Trial-6(7 x 20 x 20 x 1),0.9769930135508856,0.008275181498665964,0.03144776009305353,0.004980897949715357,0.019473315976231344,0.002321295824458365,0.9348126947266608,0.03283696399815902,0.05452245816231956,0.01903052439342669,0.03628417146302457,0.010675475549361263,508.0,0.001,0.0
Trial-7(7 x 22 x 22 x 1),0.9872065241801422,0.007396862554905639,0.02274308235992049,0.006425187439002078,0.014278023826657427,0.003648228875885285,0.9495913993760522,0.027404946020164984,0.04788800251404243,0.0177707476840048,0.0310796186942595,0.011348441851434164,659.0,0.001,0.0
Trial-8(7 x 24 x 24 x 1),0.983567184528018,0.002968032104096553,0.027170106883546145,0.002975911716546123,0.01628048596091844,0.001905232236085855,0.9543839799136036,0.015008940792855759,0.04651465260886017,0.011239193186389265,0.03016960668742957,0.006088713744859832,491.0,0.001,0.0
Trial-9(7 x 26 x 26 x 1),0.9870814844320328,0.006124208501827281,0.023558644474579005,0.0065718103588572035,0.015509942841500618,0.005348307678531943,0.9693104278658368,0.00891095372979017,0.03954314579846519,0.008842905815010538,0.02680768837396998,0.006531012508514728,382.0,0.001,0.0
Trial-10(7 x 28 x 28 x 1),0.9891242157307744,0.003828175121274357,0.022596959731904245,0.004898088189075018,0.01405587108731681,0.0037279194527604213,0.9375381433009206,0.05789963063268045,0.05009085767991782,0.026263047246865748,0.028862303345410283,0.010098766973419066,679.0,0.001,0.0
Trial-11(7 x 30 x 30 x 1),0.9866295712442962,0.004452651418340677,0.023974885406557355,0.004565083065945714,0.013817618742127738,0.002246737604513645,0.9535745181914804,0.030141486693113926,0.04507884178649325,0.016846154877983743,0.02659506332159035,0.007830383102328649,867.0,0.001,0.0
Trial-12(7 x 10 x 10 x 1),0.9674386450376364,0.020511431205833704,0.0399393234490236,0.014990625418824588,0.031061379001277683,0.012749655739698416,0.9446349501219348,0.022213098043328442,0.054742132196059716,0.01740210174241909,0.03974993735326668,0.015581474316713763,537.0,0.005,0.0
Trial-13(7 x 12 x 12 x 1),0.9855933450164408,0.0023475013506773397,0.02514457140383994,0.0019177813842205145,0.016279218073252968,0.0017470658106934994,0.9659386564900904,0.008122947386355711,0.04183282904109282,0.00933609542167915,0.028917980488007637,0.006663979243432176,314.0,0.005,0.0
Trial-14(7 x 14 x 14 x 1),0.9927445442362826,0.002915059167024627,0.01760388909045185,0.003134241612880255,0.01166640936626995,0.0011348400738281901,0.9649976414352274,0.0039428549166798665,0.04063462255969034,0.003754541038872067,0.025808175644343147,0.004276632563258212,320.0,0.005,0.0
Trial-15(7 x 16 x 16 x 1),0.9856457460594372,0.015206743429034424,0.02406225084058269,0.014751002286277775,0.016678342237081152,0.01351321980848962,0.9480113847732338,0.0452298914995672,0.04917568505759577,0.02296170494416144,0.0306355631635521,0.012205486697108723,474.0,0.005,0.0
Trial-16(7 x 18 x 18 x 1),0.9850180561656476,0.018416823520007047,0.0226740032822484,0.01259601094043374,0.016440195219335485,0.008661200046730875,0.9565718126537088,0.043657437830862296,0.04232262477463919,0.0231180417404846,0.02822690808790055,0.017145936257376163,429.0,0.005,0.0
Trial-17(7 x 20 x 20 x 1),0.9810495538757776,0.01341196847492233,0.02895761855752677,0.010433172866624438,0.019448860449844386,0.006484696697704358,0.932245775454542,0.06026709504822226,0.05860760079338681,0.028784727515768445,0.035649168984439907,0.012554654089983209,263.0,0.005,0.0
Trial-18(7 x 22 x 22 x 1),0.9933871727559777,0.003461828490678651,0.01823910779889942,0.003267720623186261,0.0127014809127293,0.0009132897607361561,0.9645455944912524,0.014494176832046568,0.04360184913231835,0.01084465413395912,0.02810231890070539,0.0061747422309630295,199.0,0.005,0.0
Trial-19(7 x 24 x 24 x 1),0.9922514407745774,0.004638599237181306,0.01995624709741544,0.006002490740018649,0.014256885756357878,0.003363123669890809,0.9678962912603082,0.010843543266301716,0.04203076752646511,0.011744172621182191,0.027627776038278613,0.007962291694590598,416.0,0.005,0.0
Trial-20(7 x 26 x 26 x 1),0.9931156644599152,0.003011133233871416,0.017730964402909388,0.004812767652355728,0.01011893021752073,0.0017990923656612055,0.9630906421662913,0.022813726108437696,0.04139806281544735,0.014848617840354556,0.024839437529908942,0.007581808944011734,562.0,0.005,0.0
Trial-21(7 x 28 x 28 x 1),0.9918628679147514,0.004028191518205023,0.020794831447819767,0.0038864576313897546,0.013762626620147031,0.0022965384049832183,0.9681043162736004,0.020577659189975624,0.040669976291766455,0.012641429643994295,0.027151598998700968,0.007364060672026119,383.0,0.005,0.0
Trial-22(7 x 30 x 30 x 1),0.9946694799351768,0.002971301228559612,0.01527644992626487,0.0035732312172924025,0.0109856916509602,0.003030424308708641,0.9510586197407768,0.05332213944185795,0.046566481597326265,0.029148871091186933,0.028028451072645167,0.013493278240986454,342.0,0.005,0.0
Trial-23(7 x 10 x 10 x 1),0.9603031258761804,0.029974716802200933,0.04011598423465577,0.01498501761749967,0.025655335225299128,0.0077738432110291186,0.9055160442686068,0.05738435609970944,0.06527409233061561,0.025805189147047682,0.04033605816495885,0.012239207698443666,381.0,0.01,0.0
Trial-24(7 x 12 x 12 x 1),0.9611476246963236,0.04291498111074525,0.036797052497325636,0.022772032271082127,0.024806262398256892,0.017326837066742654,0.9517209562357486,0.03521459275317067,0.050728840485880056,0.01891457829606811,0.03408489303651707,0.011019133451663369,298.0,0.01,0.0
Trial-25(7 x 14 x 14 x 1),0.957728714439234,0.023834590031829337,0.04691698472701425,0.016404692562329206,0.03202258254771812,0.013683790299354091,0.9191201097374556,0.05365984375299776,0.07119559257806013,0.023982861911307968,0.049517513940602366,0.01864492471521273,230.0,0.01,0.0
Trial-26(7 x 16 x 16 x 1),0.9646132880547842,0.035787811520943034,0.03755692794747955,0.019275871693074195,0.02493451709426122,0.01370653627452434,0.9246079948576659,0.0687003576665074,0.060734481301187686,0.02927453797892432,0.036239164590821805,0.011907660336586622,321.0,0.01,0.0
Trial-27(7 x 18 x 18 x 1),0.9913543561142822,0.0034344837939567804,0.02562731344209129,0.008054741971198149,0.018093791869155745,0.006887344338816918,0.9596017721527396,0.028480071474084462,0.050684982031710735,0.018146981961226855,0.030307581385662495,0.007571392561843309,294.0,0.01,0.0
Trial-28(7 x 20 x 20 x 1),0.9738358795899827,0.027571605277284486,0.03349579118273612,0.019732170460239645,0.0263501646055438,0.01493922402861445,0.9640734439017942,0.028183494817302736,0.040377770252472606,0.010807879600402763,0.03010700636388755,0.010749022758939185,481.0,0.01,0.0
Trial-29(7 x 22 x 22 x 1),0.9820991674272138,0.014923775532863087,0.029767674002362143,0.011304658540850906,0.02225082740717506,0.00948646573535872,0.9560472640601894,0.013836104182793829,0.049799750834642886,0.007210219588309074,0.032421120885198815,0.003349409773601405,351.0,0.01,0.0
Trial-30(7 x 24 x 24 x 1),0.9878788488646766,0.012073047419951018,0.02241065250547616,0.01089471003814184,0.015796590536298297,0.008339612465165774,0.9734630968635984,0.012760068580457893,0.03524286319292008,0.010509596522551531,0.02375309225943051,0.005868275774179125,362.0,0.01,0.0
Trial-31(7 x 26 x 26 x 1),0.9881777170059104,0.011058329732354823,0.020798297033834755,0.008719456476262624,0.014422294667477454,0.005009103956329543,0.944552183733543,0.07235670208142181,0.045280683683906406,0.034250415314568086,0.028496627118735594,0.01801520557884076,373.0,0.01,0.0
Trial-32(7 x 28 x 28 x 1),0.9694368479685996,0.028454949300723002,0.031093735600387782,0.01944122981724442,0.019600265962985808,0.01117037758398072,0.9521897740219628,0.03540505176506272,0.04453362028133679,0.019861889493330787,0.028943240069619708,0.013319145666276259,493.0,0.01,0.0
Trial-33(7 x 30 x 30 x 1),0.9792648121071124,0.02431778232088613,0.02574388087303361,0.014580592905395352,0.015689633703445286,0.008560677767070785,0.9215971139499712,0.09966354880714573,0.056446736506226086,0.040785123958132635,0.033946380642390736,0.022580847639977003,409.0,0.01,0.0
Trial-34(7 x 10 x 10 x 1),0.9918294840679068,0.004822030500817983,0.02071393239709423,0.004850849280306502,0.014252685846450985,0.0023560681417479,0.9712466899219324,0.02239995824193994,0.03650774760232847,0.015855745928215932,0.026163741490036373,0.009503191315179516,668.0,0.0075,0.0
Trial-35(7 x 12 x 12 x 1),0.9741636644976276,0.01816866091216086,0.03213441998222725,0.01394564813541144,0.022270168978983262,0.010641894940912774,0.9590374031491458,0.02266821281534409,0.043861195383042166,0.015835553264276946,0.03077066307950265,0.011208077203641538,381.0,0.0075,0.0
Trial-36(7 x 14 x 14 x 1),0.9748992182170768,0.022251303389723285,0.030306486449986837,0.015186429103890196,0.018095134237806947,0.008708867015203037,0.9307314754634256,0.06461428926237336,0.05271891926885247,0.028112039448619862,0.03470985834415671,0.021064437424650608,466.0,0.0075,0.0
Trial-37(7 x 16 x 16 x 1),0.9870651304006339,0.005648072212288679,0.02557404144106001,0.006971534944243314,0.018406431545351543,0.007007643343884928,0.9661101972078642,0.026381591125171064,0.04025803761449948,0.018363808521460044,0.028561640157372937,0.01294455729591802,408.0,0.0075,0.0
Trial-38(7 x 18 x 18 x 1),0.9720699489105435,0.027065919114121737,0.033834322302780856,0.018741916687471712,0.024086733814905573,0.015965192247556728,0.9586135264929196,0.0032004782887880404,0.05104538734402917,0.00824737155326472,0.033831473264648484,0.005110914224978638,306.0,0.0075,0.0
Trial-39(7 x 20 x 20 x 1),0.9921221183781984,0.006583062524211278,0.018208630205712787,0.007493076050042315,0.014047020743698596,0.006011091851011376,0.9560762711407946,0.02918990826723257,0.043576285583936926,0.018602278096194923,0.02592188045215328,0.009995410944008108,327.0,0.0075,0.0
Trial-40(7 x 22 x 22 x 1),0.9828236848925724,0.015221467923212868,0.02733460629873103,0.013137304659183505,0.018641907239906462,0.009056200631271615,0.9196445359799788,0.04843078922008863,0.06315016744923135,0.020827985626498062,0.03809752712050821,0.013032256872948813,296.0,0.0075,0.0
Trial-41(7 x 24 x 24 x 1),0.9894453785580064,0.004469364933631918,0.02574266576733755,0.009923708228796164,0.020008964675230514,0.009218733712204108,0.954038723364288,0.041269059727744695,0.052238170954745033,0.02358934435156572,0.03398827535822207,0.015499902538189043,230.0,0.0075,0.0
Trial-42(7 x 26 x 26 x 1),0.9937574140988206,0.004486673774696928,0.01640120184100215,0.005495073778625939,0.010267610005576905,0.003262764114666274,0.961658861902296,0.04183802740970924,0.039925868616934174,0.023265059246992542,0.02425570534247913,0.012713521469451816,249.0,0.0075,0.0
Trial-43(7 x 28 x 28 x 1),0.9924967166105952,0.005278399487738311,0.020127749435167368,0.0075128394097231065,0.0128417252723889,0.004620687205310474,0.9795330451390258,0.009948510827479795,0.03639893634258795,0.006591350959588561,0.02310945055718849,0.0060741082128348105,345.0,0.0075,0.0
Trial-44(7 x 30 x 30 x 1),0.9967906195598496,0.0015849731724269975,0.012556404296674914,0.0033625333953799467,0.008570490731309853,0.0025882252887424327,0.9719371018184612,0.023650838265010264,0.03509068655299757,0.0177103544904895,0.019868044126818352,0.007858669187963482,456.0,0.0075,0.0
Trial-45(7 x 10 x 10 x 1),0.9836289804650532,0.006594230929310419,0.026902603949079576,0.005171884065321882,0.018953943835406543,0.004535094290368629,0.9541655773222804,0.01170710537150124,0.04535716846622905,0.00893904136348316,0.030078370115731626,0.008674692104092337,605.0,0.0025,0.0
Trial-46(7 x 12 x 12 x 1),0.97990969041946,0.006975713110330151,0.029449911804017712,0.005963155221925432,0.0198337345940068,0.0046607094404214925,0.963147470269338,0.011281242667454141,0.041298491719799414,0.009912657926029824,0.02897250446446197,0.006397589985438255,609.0,0.0025,0.0
Trial-47(7 x 14 x 14 x 1),0.9749353609917892,0.025789929600443583,0.02936245401753548,0.016210316675540553,0.01884401185517836,0.009973665315772623,0.9333755878353821,0.03600624448113734,0.05658715786253377,0.014833972550374731,0.034258167839694716,0.009858240360414394,716.0,0.0025,0.0
Trial-48(7 x 16 x 16 x 1),0.970395988850596,0.03283790114514666,0.03148466934581344,0.0200995983030528,0.02076210851748872,0.013631741566117777,0.9528551976021552,0.04603168048722993,0.044514594337262695,0.022231613619586425,0.028765858872990213,0.010128248027579063,417.0,0.0025,0.0
Trial-49(7 x 18 x 18 x 1),0.992910264435376,0.0033120775180595532,0.01925180883091552,0.005110676448471681,0.011873894716729696,0.002908148429080353,0.9537974994746696,0.026839824302759042,0.045941333881199226,0.0185024123484278,0.02713106580793376,0.01125928186230962,408.0,0.0025,0.0
Trial-50(7 x 20 x 20 x 1),0.9933384760540422,0.0068402538155688435,0.016669907125793866,0.006386495592362309,0.011441575188105707,0.004438865650552121,0.9666943179815088,0.0330212132343561,0.0402894280759219,0.020436211263006585,0.0247944440216777,0.009768938163622416,610.0,0.0025,0.0
